date,ym,cambodia_khmer_times_body_count,cambodia_khmer_times_epu_count,cambodia_khmer_times_ratio,cambodia_kampuchea_thmey_daily_body_count,cambodia_kampuchea_thmey_daily_epu_count,cambodia_kampuchea_thmey_daily_ratio,news_total,cambodia_khmer_times_weights,cambodia_kampuchea_thmey_daily_weights,cambodia_khmer_times_z_score,cambodia_kampuchea_thmey_daily_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2022-09-01,2022-9,1027.0,2.0,0.0019474196689386564,647.0,0.0,0.0,1674.0,0.6135005973715651,0.3864994026284349,0.23135735571859478,,0.23135735571859478,0.1419378759396636,14.36815639751567,26.606330782882406,14.36815639751567
2022-10-01,2022-10,1034.0,16.0,0.015473887814313346,714.0,0.0,0.0,1748.0,0.5915331807780321,0.408466819221968,1.8383288535628381,,1.8383288535628381,1.0874325140640588,110.07914786929625,211.4096844411623,110.07914786929625
2022-11-01,2022-11,956.0,5.0,0.005230125523012552,650.0,0.0,0.0,1606.0,0.5952677459526775,0.40473225404732255,0.6213493836898452,,0.6213493836898452,0.3698692470781395,37.441304186552344,71.455809921601,37.441304186552344
2022-12-01,2022-12,936.0,9.0,0.009615384615384616,604.0,0.0,0.0,1540.0,0.6077922077922078,0.3922077922077922,1.1423269438605617,,1.1423269438605617,0.6942974152295361,70.28267671589968,131.36875824048187,70.28267671589968
2023-01-01,2023-1,992.0,9.0,0.009072580645161291,600.0,0.0,0.0,1592.0,0.6231155778894473,0.3768844221105528,1.0778407454168204,,1.0778407454168204,0.6716193589531947,67.98701139603364,123.95277995271275,67.98701139603364
2023-02-01,2023-2,1012.0,7.0,0.00691699604743083,611.0,0.0,0.0,1623.0,0.6235366605052373,0.3764633394947628,0.8217529793779534,,0.8217529793779534,0.5123931085215582,51.868779009885586,94.50242687655216,51.868779009885586
2023-03-01,2023-3,1039.0,8.0,0.007699711260827719,667.0,0.0,0.0,1706.0,0.6090269636576788,0.3909730363423212,0.9147411138517684,,0.9147411138517684,0.5571020031019855,56.394592753672285,105.19615674310002,56.394592753672285
2023-04-01,2023-4,921.0,8.0,0.008686210640608035,649.0,0.0,0.0,1570.0,0.586624203821656,0.41337579617834397,1.0319392153007463,,1.0319392153007463,0.6053605205681448,61.27972945080568,118.67405738988155,61.27972945080568
2023-05-01,2023-5,926.0,10.0,0.01079913606911447,658.0,0.0,0.0,1584.0,0.5845959595959596,0.4154040404040404,1.2829589866252527,,1.2829589866252527,0.7500126399084495,75.92264460050892,147.5415859288349,75.92264460050892
2023-06-01,2023-6,956.0,5.0,0.005230125523012552,734.0,0.0,0.0,1690.0,0.565680473372781,0.43431952662721895,0.6213493836898452,,0.6213493836898452,0.3514852134955574,35.58031628615566,71.455809921601,35.58031628615566
2023-07-01,2023-7,1016.0,5.0,0.004921259842519685,715.0,0.0,0.0,1731.0,0.5869439630271519,0.41305603697284804,0.584655522448319,,0.584655522448319,0.34316002935152634,34.73757049312714,67.23597862701828,34.73757049312714
2023-08-01,2023-8,1002.0,4.0,0.003992015968063872,764.0,0.0,0.0,1766.0,0.5673839184597962,0.43261608154020387,0.47425948966666026,,0.47425948966666026,0.26908720761381294,27.239290837419283,54.5403227824755,27.239290837419283
2023-09-01,2023-9,910.0,5.0,0.005494505494505495,917.0,0.0,0.0,1827.0,0.49808429118773945,0.5019157088122606,0.6527582536346067,,0.6527582536346067,0.3251286320785397,32.91227943273293,75.06786185170392,32.91227943273293
2023-10-01,2023-10,886.0,4.0,0.004514672686230248,871.0,0.0,0.0,1757.0,0.504268639726807,0.4957313602731929,0.5363521542279838,,0.5363521542279838,0.270465571227088,27.37882050021767,61.68104224383798,27.37882050021767
2023-11-01,2023-11,870.0,11.0,0.01264367816091954,814.0,0.0,0.0,1684.0,0.5166270783847982,0.4833729216152019,1.5020942802028534,,1.5020942802028534,0.7760225794397165,78.55559142038406,172.74236715759912,78.55559142038406
2023-12-01,2023-12,862.0,8.0,0.009280742459396751,756.0,0.0,0.0,1618.0,0.5327564894932015,0.4672435105067985,1.102570785721563,,1.102570785721563,0.5874017412187809,59.46178939293259,126.79675969382936,59.46178939293259
2024-01-01,2024-1,967.0,10.0,0.010341261633919338,874.0,0.0,0.0,1841.0,0.5252580119500272,0.47474198804997286,1.2285625869855057,,1.2285625869855057,0.645312341996189,65.32399187789578,141.28594474674367,65.32399187789578
2024-02-01,2024-2,916.0,6.0,0.006550218340611353,752.0,0.0,0.0,1668.0,0.5491606714628298,0.45083932853717024,0.7781790534595965,,0.7781790534595965,0.4273453315161813,43.25952124000221,89.49138115945489,43.25952124000221
2024-03-01,2024-3,930.0,1.0,0.001075268817204301,698.0,0.0,0.0,1628.0,0.5712530712530712,0.42874692874692877,0.12774408834569723,,0.12774408834569723,0.0729742028019032,7.38706812329276,14.690699846247435,7.38706812329276
2024-04-01,2024-4,863.0,4.0,0.004634994206257242,673.0,0.0,0.0,1536.0,0.5618489583333334,0.4381510416666667,0.5506465917103055,,0.5506465917103055,0.3093802139622355,31.318090897709936,63.324917066095544,31.318090897709936
2024-05-01,2024-5,897.0,4.0,0.004459308807134894,723.0,0.0,0.0,1620.0,0.5537037037037037,0.4462962962962963,0.5297748145440285,,0.5297748145440285,0.29333827694197134,29.69418988819904,60.92464150283216,29.69418988819904
2024-06-01,2024-6,914.0,12.0,0.01312910284463895,712.0,0.0,0.0,1626.0,0.5621156211562116,0.43788437884378845,1.5597637045273314,,1.5597637045273314,0.8767675436272946,88.7538516953551,179.37440950122686,88.7538516953551
2024-07-01,2024-7,942.0,7.0,0.0074309978768577496,820.0,0.0,0.0,1762.0,0.5346197502837684,0.46538024971623154,0.8828174258285445,,0.8828174258285445,0.4719716317426157,47.77697408231799,101.52490021132782,47.77697408231799
2024-08-01,2024-8,905.0,11.0,0.012154696132596685,809.0,1.0,0.0012360939431396785,1714.0,0.5280046674445741,0.4719953325554259,1.4440022362171077,,1.4440022362171077,0.7624399205230352,77.18063941185925,166.06172312387983,77.18063941185925
