date,ym,lao_pasaxon_body_count,lao_pasaxon_epu_count,lao_pasaxon_ratio,lao_kosmo_body_count,lao_kosmo_epu_count,lao_kosmo_ratio,lao_kpl_body_count,lao_kpl_epu_count,lao_kpl_ratio,lao_the_tian_times_body_count,lao_the_tian_times_epu_count,lao_the_tian_times_ratio,news_total,lao_pasaxon_weights,lao_kosmo_weights,lao_kpl_weights,lao_the_tian_times_weights,lao_pasaxon_z_score,lao_kosmo_z_score,lao_kpl_z_score,lao_the_tian_times_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2021-10-01,2021-10,0.0,0.0,0.0,1641.0,0.0,0.0,70,0.0,0.0,104.0,3.0,0.028846153846153848,1815.0,0.0,0.9041322314049587,0.03856749311294766,0.05730027548209366,,,,0.6811632666542274,0.6811632666542274,0.03903084282757006,50.245448153572916,146.81291414417709,50.245448153572916
2021-11-01,2021-11,0.0,0.0,0.0,1546.0,0.0,0.0,163,0.0,0.0,117.0,3.0,0.02564102564102564,1826.0,0.0,0.8466593647316539,0.08926615553121577,0.06407447973713033,,,,0.6054784592482021,0.6054784592482021,0.03879571726836782,49.942764730961024,130.5003681281574,49.942764730961024
2021-12-01,2021-12,0.0,0.0,0.0,1562.0,0.0,0.0,130,0.0,0.0,92.0,0.0,0.0,1784.0,0.0,0.875560538116592,0.07286995515695067,0.0515695067264574,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2022-1,0.0,0.0,0.0,1605.0,0.0,0.0,86,0.0,0.0,98.0,1.0,0.01020408163265306,1789.0,0.0,0.8971492453884852,0.048071548351034096,0.05477920626048072,,,,0.2409557133742845,0.2409557133742845,0.013199362722571203,16.991892751767253,51.933819969368756,16.991892751767253
2022-02-01,2022-2,0.0,0.0,0.0,1375.0,0.0,0.0,113,0.0,0.0,89.0,1.0,0.011235955056179775,1577.0,0.0,0.8719086873811034,0.07165504121750159,0.05643627140139505,,,,0.2653220214683133,0.2653220214683133,0.014973785612352493,19.2761548084411,57.185554573012794,19.2761548084411
2022-03-01,2022-3,0.0,0.0,0.0,1501.0,0.0,0.0,77,0.0,0.0,129.0,0.0,0.0,1707.0,0.0,0.8793204452255419,0.04510837727006444,0.07557117750439367,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,2022-4,0.0,0.0,0.0,1480.0,0.0,0.0,61,0.0,0.0,108.0,1.0,0.009259259259259259,1649.0,0.0,0.897513644633111,0.03699211643420255,0.06549423893268648,,,,0.21864499917296187,0.21864499917296187,0.014319987817271002,18.4345034159561,47.12513293516795,18.4345034159561
2022-05-01,2022-5,0.0,0.0,0.0,1334.0,0.0,0.0,54,0.0,0.0,129.0,5.0,0.03875968992248062,1517.0,0.0,0.8793671720500988,0.035596572181938034,0.08503625576796309,,,,0.9152581360728637,0.9152581360728637,0.0778301249528012,100.19280202014374,197.26799833326118,100.19280202014374
2022-06-01,2022-6,0.0,0.0,0.0,1345.0,0.0,0.0,135,0.0,0.0,98.0,1.0,0.01020408163265306,1578.0,0.0,0.8523447401774398,0.08555133079847908,0.062103929024081114,,,,0.2409557133742845,0.2409557133742845,0.014964296521343397,19.26393924772599,51.933819969368756,19.26393924772599
2022-07-01,2022-7,0.0,0.0,0.0,1618.0,0.0,0.0,86,0.0,0.0,127.0,1.0,0.007874015748031496,1831.0,0.0,0.8836701256144184,0.04696886947023485,0.0693610049153468,,,,0.18593433000535342,0.18593433000535342,0.012896591977433033,16.602127871606562,40.07491619683574,16.602127871606562
