,code,title,keywords
100,04.4.1.1,Water supply delivered through network systems (ND),"all charges usually included in the bills paid by households, including meter installation charges and rentals, and volumetric or fixed charges for consumption of water delivered through mains, except for steam and hot water associated expenditures, such as meter rentals, cost of meter readings, standing charges and so on"
101,04.4.1.2,Water supply delivered through other systems (ND),"payment for services provided at a public standpost or fountain and by water vendors e g , via tanker truck or cart"
107,04.5.1.0,Electricity (ND),"electricity from all sources coal, solar, hydro, etc associated expenditure, such as meter rentals, cost of meter readings, standing charges, etc charges for self produced energy i e , in some countries, households that self produce more electricity than they consume are charged storage costs if they transmit that surplus electricity back into the electricity supply grid"
108,04.5.2.1,Natural gas through networks (ND),"natural gas and town gas delivered through gas networks associated expenditure, such as meters rentals, cost of meter readings, standing charges, etc"
109,04.5.2.2,Liquefied hydrocarbons (ND),"liquefied hydrocarbons butane, propane, etc delivered in storage containers associated expenditure, such as rental or purchase of storage containers, standing charges, etc"
110,04.5.3.0,Liquid fuels (ND),"domestic heating, lighting and cooking fuel oils biofuels for domestic use alcohol for fireplaces"
111,04.5.4.1,"Coal, coal briquettes, peat and peat briquettes (ND)",coal coal briquettes peat peat briquettes
112,04.5.4.2,"Wood fuel, including pellets and briquettes (ND)","fuelwood, in the form of billets, faggots, logs or twigs, or in similar forms wood in the form of chips or particles non agglomerated sawdust and wood waste and scrap sawdust and wood waste and scrap agglomerated in briquettes and pellets or in similar forms"
113,04.5.4.3,Charcoal (ND),"charcoal, whether agglomerated or not, in the form of blocks, sticks, granules or powder or agglomerated with tar or other substances, in the form of balls, briquettes, tablets and so on wood and bamboo charcoal shell and nut charcoal charcoal briquettes charcoal briquettes for barbecuing"
114,04.5.4.9,Other solid fuels (ND),"coke other types of briquettes other biomass n e c , such as waste from agricultural production e g , wheat and nutshells and dry animal dung"
115,04.5.5.0,Other energy for heating and cooling (ND),"hot water and steam purchased from district heating plants ice used for cooling and refrigeration purposes associated expenditure, such as meter rentals of, cost of meter readings, standing charges and so on"
116,05.1.1.1,Household furniture (D),"sofas, couches, tables, chairs, cupboards, chests of drawers, bookshelves, hanger stands and coat stands bunk beds and baby furniture, such as cradles, high chairs and playpens beds, mattresses, mattress bases tatamis , wardrobes and bedside tables kitchen tables, chairs, cupboards and surfaces furniture primarily for bathroom use inflatable sofas, armchairs and beds pieces of custom made furniture"
117,05.1.1.2,Garden and camping furniture (D),"furniture used primarily in gardens wrought iron benches, tables and arbours small garden sheds for the storage of garden tools and machines camping furniture custom made furniture"
118,05.1.1.3,Lighting equipment (D),"lighting equipment, such as ceiling lights, standard lamps, globe lights, bedside lamps, light and led strings, and parts thereof"
119,05.1.1.4,"Furnishings, loose carpets and rugs (D)","loose carpets and rugs pictures, sculptures, engravings, tapestries and other art objects, including reproductions of works of art and other ornaments statuettes and other decorative articles, including those made of porcelain and crystal glass wall clocks, floor clocks, alarm clocks and travel clocks screens, folding partitions, non textile blinds, mirrors, candle holders and candlesticks leather and fur for upholstery and room decoration"
121,05.2.1.1,Furnishing fabrics and curtains (SD),"furnishing fabrics, curtain material, curtains, double curtains, awnings, door curtains and fabric blinds"
122,05.2.1.2,Bed linen and bedding (SD),"bed linen, such as sheets, pillowcases, blankets, travelling rugs, plaids, eiderdowns, counterpanes and mosquito nets bedding, such as covers for futons, pillows, bolsters and hammocks"
123,05.2.1.3,Table linen and bathroom linen (SD),"table and bathroom linen, such as tablecloths, table napkins, towels and face cloths"
124,05.2.1.9,Other household textiles (SD),"textile shopping bags, laundry bags, shoe bags, covers for clothes and furniture, flags, sunshades, etc oilcloth bathroom mats, rush mats and doormats feathers and other fillers for pillows"
