,code,title,keywords
71,07.1.3,Bicycles (D),"bicycles, tricycles and other cycles cycle rickshaws electric bicycles e bikes and pedelecs electric kick scooters"
72,07.1.4,Animal-drawn vehicles (D),"animal drawn vehicles animals used to draw vehicles and related equipment e g , yokes, collars, harnesses, bridles, reins"
73,07.2.1,Parts and accessories for personal transport equipment (SD),"tyres new, used or retreaded , inner tubes, spark plugs, batteries, shock absorbers, filters, pumps and other replacement parts or accessories for personal transport equipment hubcaps, if purchased separately snow chains, roof racks, cargo roof boxes car, motorcycle and bicycle seats for babies and children crash helmets for use by bicyclists and motorcyclists fire extinguishers for transport equipment products used specifically for the cleaning and maintenance of transport equipment, such as paints, chrome cleaners, sealing compounds and bodywork polishes covers for motor cars, motorcycles and so on dash cameras chargers for electric vehicles crash helmets equipped with cameras"
74,07.2.2,Fuels and lubricants for personal transport equipment (ND),"petrol and other fuels, such as diesel, liquefied petroleum gas lpg , alcohol and two stroke mixtures lubricants, brake and transmission fluids, coolants and additives electricity used as fuel for personal transport when priced separately from other electricity hydrogen fuel and lubricants for major tools and equipment covered under class and recreational vehicles covered under class"
85,08.1.1,Fixed telephone equipment (D),"telephones, telefax and telephone answering machines, and telephone loudspeakers"
86,08.1.2,Mobile telephone equipment (D),"mobile telephone handsets, including multifunctional devices smartphones"
87,08.1.3,Information processing equipment (D),"personal computers, printers, photocopiers, scanners, monitors, projectors, augmented reality and virtual reality head mounts, modems, routers, network switches, keyboards, mice and digitizers tablets calculators, including pocket calculators toner and ink cartridges, laser printer drums and typewriter ribbons typewriters and word processors telefax and telephone answering facilities of personal computers d printers"
88,08.1.4,"Equipment for the reception, recording and reproduction of sound and vision (D)","television sets, video cassette players and recorders, digital video recorders dvrs , dvd players, blu ray players, streaming boxes and television aerials of all types radio receivers radio sets, digital radio sets, internet radio sets, satellite radio sets, car radios, radio clocks, two way radios, walkie talkies, and amateur radio receivers and transmitters portable and non portable cd players portable and non portable sound players stereo equipment and cd radio cassette recorders turntables, tuners, amplifiers, cassette decks, microphones and speakers, disc jockey dj equipment and karaoke systems audio and video systems for cars set top boxes, satellite receivers, internet protocol television receivers and television converter boxes digital media players headphones, earplugs and wireless, including bluetooth headsets"
89,08.1.5,Unrecorded recording media (SD),"compact discs recordable cd r and rewritable cd rw dvds recordable dvd r and rewritable dvd rw blu ray discs recordable bd r and recordable erasable bd re video cassettes audiotapes, audio cassettes and digital audiotapes dat external hard drives, solid state drives and network attached storage nas usb keys and usb flash drives secure digital sd cards, compactflash cf cards and so on magnetic data tapes other magnetic recording media other optical recording media other recording media phase change recording media, holographic recording media, molecular recording media, etc"
90,08.1.9,Other information and communication equipment and accessories (D),"baby monitors smartwatches fitness trackers and other wearable devices e g , smartglasses that, in general, cannot work without a smartphone or tablet connection e book readers chargers, batteries, cables, power banks, docking stations, covers, cases, cradles and mounts computer components, for example, processors, internal hard drives, solid state drives, motherboards, memory, dvd drives, hard drives"
98,09.1.1,Photographic and cinematographic equipment and optical instruments (D),"still cameras, movie cameras and sound recording cameras, film and slide projectors, enlargers and film processing equipment video cameras, including camcorders and action cameras screens, viewers, lenses including zoom lenses , flash attachments, filters, exposure meters and so on photographic developer and photographic paper binoculars, microscopes, telescopes and compasses materials purchased by households with the intention of undertaking maintenance and repair themselves unexposed photographic and cinematographic films camera specific batteries and chargers"
